12:39:17.724 leos [main] [] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
12:39:17.774 leos [main] [] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Feb 01 12:39:17 CET 2022]; root of context hierarchy
12:39:17.809 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/applicationContext.xml]
12:39:18.526 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/integrationContext.xml]
12:39:18.542 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/servicesContext.xml]
12:39:18.558 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/cmisContext.xml]
12:39:18.578 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/freemarker/freemarkerContext.xml]
12:39:18.594 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/xslt/xsltContext.xml]
12:39:18.637 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/securityContext.xml]
12:39:18.728 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [eu/europa/ec/leos/securityContext-common.xml]
12:39:18.761 leos [main] [] INFO  o.s.s.core.SpringSecurityCoreVersion - You are running with Spring Security Core 4.2.5.RELEASE
12:39:18.766 leos [main] [] INFO  o.s.s.c.SecurityNamespaceHandler - Spring Security 'config' module version is 4.2.5.RELEASE
